|id|name|address_name|address_comment|lat|lon|rubrics
28831|5349008106652962|Поликлиника Стоматологическая №16, протезное отделение|Спасский переулок, 10|4 этаж|59.928464|30.318748|['Стоматологические поликлиники']
28832|5349008107205145|Поликлиника Стоматологическая №16, Городской ортодонтический центр|Спасский переулок, 10|16 кабинет; 4 этаж|59.928464|30.318748|['Стоматологические поликлиники']
28834|5348552838510072|Династия, семейная стоматологическая клиника|Невский проспект, 5|1 этаж|59.936572|30.313156|['Частные стоматологии']
28836|70000001063569769|M clinic, стоматология|Моховая, 39|1 этаж|59.939665|30.344906|['Частные стоматологии']
28838|5348552838510511|Эскомед, стоматологическая клиника|Рубинштейна, 34|1 этаж|59.928152|30.343636|['Частные стоматологии']
28840|70000001047970814|Шарм, стоматологическая клиника|Литейный проспект, 52|1 этаж|59.9365|30.348418|['Частные стоматологии']
28844|70000001078955968|Esteworld|улица Миллионная, 6|302 офис; 3 этаж|59.943748|30.324623|['Частные стоматологии', 'Пластическая хирургия', 'Центры трансплантации волос']
28845|5348552839296387|Аркадия, стоматологическая клиника|Загородный проспект, 21-23|1 этаж|59.925795|30.337724|['Частные стоматологии']
28847|70000001031644113|Диона, сеть многопрофильных медицинских центров для взрослых и детей|проспект Луначарского, 21 к1|10Н помещение; 1-2 этаж|60.041102|30.338885|['Частные стоматологии', 'Услуги офтальмолога', 'Услуги медицинской диагностики', 'Услуги дерматолога', 'Многопрофильные медицинские центры', 'Медицинские анализы', 'Услуги гирудотерапевта', 'Услуги кардиолога', 'Услуги детских врачей', 'Услуги физиотерапевта', 'Услуги хирурга', 'Услуги остеопата', 'Услуги гинеколога', 'Услуги невролога', 'Услуги косметолога', 'Услуги ЛОРа (отоларинголога)', 'Услуги гастроэнтеролога', 'Услуги массажиста', 'Услуги психиатра', 'Услуги рефлексотерапевта', 'Услуги травматолога-ортопеда', 'Услуги терапевта', 'Услуги трихолога', 'Ортопедические товары', 'Услуги эндокринолога', 'Услуги мануального терапевта']
28853|5348553838961139|Dental studio, стоматологическая клиника|Туристская улица, 24/42|1 этаж|60.000879|30.206834|['Частные стоматологии']
28854|5348552838525811|Балтмед в Озерках, многопрофильный медицинский центр|Выборгское шоссе, 40|1-3 этаж|60.041936|30.315498|['Частные стоматологии', 'Многопрофильные медицинские центры', 'Услуги невролога', 'Услуги эндокринолога', 'Услуги пульмонолога', 'Услуги гинеколога', 'Услуги детских врачей', 'Услуги дерматолога', 'Услуги гастроэнтеролога', 'Услуги уролога', 'Услуги травматолога-ортопеда', 'Услуги ЛОРа (отоларинголога)', 'Услуги офтальмолога', 'Услуги медицинской диагностики', 'Услуги аллерголога / иммунолога', 'Услуги онколога', 'Услуги кардиолога', 'Услуги массажиста', 'Услуги маммолога', 'Услуги косметолога', 'Услуги терапевта', 'Услуги физиотерапевта', 'Медицинские комиссии', 'Услуги мануального терапевта', 'Услуги ведения беременности', 'Медицинские анализы', 'Услуги диетолога', 'Больницы', 'Услуги остеопата', 'Эпиляция', 'Вакцинация от COVID-19', 'Услуги логопеда', 'Услуги психолога', 'Пластическая хирургия', 'Психологическая помощь в избавлении от зависимостей', 'Услуги гематолога', 'Услуги генетика', 'Услуги нефролога', 'Услуги проктолога', 'Услуги психиатра', 'Услуги психотерапевта', 'Услуги ревматолога', 'Услуги рефлексотерапевта', 'Услуги трихолога', 'Услуги флеболога', 'Услуги хирурга', 'Услуги вакцинации', 'Услуги челюстно-лицевого хирурга', 'Патронажные услуги']
28856|5348552838637567|Айсберг, центр имплантации и стоматологии|улица Доблести, 26 к1|2 этаж|59.852999|30.17682|['Частные стоматологии']
28858|5348553838613336|Айсберг, центр имплантации и стоматологии|Октябрьская набережная, 64 к3|1 этаж|59.881294|30.455042|['Частные стоматологии']
28860|70000001044126142|Семейная Клиника Толмачёвых|Обручевых, 5 ст1|9Н помещение; 1 этаж|60.012167|30.378898|['Частные стоматологии', 'Услуги косметолога']
28861|5348552839178755|БК-Дент, стоматологическая клиника|Большая Пушкарская, 20|1 этаж|59.957817|30.301495|['Частные стоматологии']
28862|70000001006766156|Силовые машины, медико-санитарная часть|Кондратьевский проспект, 13|1 этаж|59.963089|30.380341|['Частные стоматологии', 'Многопрофильные медицинские центры', 'Услуги терапевта', 'Услуги ЛОРа (отоларинголога)', 'Услуги офтальмолога', 'Услуги невролога', 'Услуги гинеколога', 'Услуги эндокринолога', 'Услуги хирурга', 'Услуги дерматолога', 'Услуги кардиолога', 'Услуги уролога', 'Медицинские анализы', 'Услуги медицинской диагностики', 'Услуги физиотерапевта', 'Услуги массажиста', 'Услуги процедурного кабинета', 'Услуги онколога']
28863|70000001021009717|Doctor Art surgical, стоматологическая клиника|улица Ленсовета, 20|1 этаж|59.85309|30.330185|['Частные стоматологии', 'Зуботехнические лаборатории']
28864|5348552838508490|Мастер-зуб, стоматологическая клиника|Хасанская, 10 к2|1 этаж|59.937927|30.482576|['Частные стоматологии']
28865|70000001027318825|Витаника, стоматология|проспект Тореза, 9|1 этаж|60.001218|30.365344|['Частные стоматологии']
28866|70000001055347229|Элайн Клиник|Морская набережная, 25|1 этаж|59.957019|30.213598|['Частные стоматологии']
28867|5348552838506324|Омега, стоматологическая клиника|Каменноостровский проспект, 20|2 этаж|59.960385|30.315654|['Частные стоматологии']
28868|70000001030402476|РЖД-Медицина|проспект Мечникова, 27|1 этаж|59.987783|30.411755|['Частные стоматологии', 'Больницы', 'Услуги хирурга', 'Услуги гинеколога', 'Услуги флеболога', 'Услуги онколога', 'Услуги уролога', 'Услуги физиотерапевта', 'Услуги невролога', 'Микрохирургия глаза', 'Скорая медицинская помощь', 'Услуги медицинской диагностики', 'Медицинские анализы', 'Многопрофильные медицинские центры', 'Услуги инфекциониста', 'Услуги терапевта', 'Услуги нейрохирурга', 'Услуги гастроэнтеролога', 'Услуги маммолога', 'Услуги проктолога', 'Услуги ревматолога', 'Пластическая хирургия', 'Услуги офтальмолога', 'Услуги ЛОРа (отоларинголога)', 'Медицинские комиссии', 'Услуги ангиохирурга', 'Услуги дерматолога', 'Услуги кардиолога', 'Услуги профпатолога', 'Услуги процедурного кабинета', 'Услуги пульмонолога', 'Услуги эндокринолога', 'Услуги челюстно-лицевого хирурга', 'Услуги косметолога', 'Услуги детских врачей', 'Услуги психолога', 'Услуги радиолога']
28869|5348552838789870|Doctor, стоматологический центр|проспект Стачек, 55|1 этаж|59.877504|30.25784|['Частные стоматологии']
28870|70000001046834245|Dr.Dent, стоматология|Шкапина, 9-11 лит А|1 этаж|59.905103|30.291497|['Частные стоматологии']
